title,length,refs,images,sections,links,infobox,quality,quality_real,quality_3class,topic
Abacus,53552,81,10,86,186,1,C,C,Medium,Science & Technology
Acid,48822,33,9,68,308,0,Start,C,Medium,Science & Technology
Bitumen,100709,168,10,72,394,0,B,B,Medium,General
American National Standards Institute,18962,24,1,18,74,1,Start,C,Medium,Geography
Apollo 11,194489,209,29,92,665,1,FA,FA,High,Culture & Arts
Apollo 8,98295,84,20,58,382,1,FA,FA,High,Geography
Astronaut,97198,150,17,48,471,0,C,C,Medium,Science & Technology
A Modest Proposal,28446,48,2,32,80,1,Start,C,Medium,Culture & Arts
Alkali metal,231115,541,26,114,1036,1,B,B,Medium,Culture & Arts
Alphabet,60329,104,6,46,317,0,C,B,Medium,General
Atomic number,20971,21,4,24,102,0,Start,C,Medium,Science & Technology
Anatomy,81873,124,25,50,505,0,GA,GA,High,Science & Technology
Affirming the consequent,7273,9,0,8,33,0,Stub,Start,Low,General
Andrei Tarkovsky,87269,122,4,54,428,1,C,B,Medium,Science & Technology
Ambiguity,35931,24,5,46,178,0,Start,C,Medium,Culture & Arts
Abel,13289,21,3,18,126,1,Stub,C,Medium,Biography
Aardvark,40243,144,2,38,175,0,GA,GA,High,Science & Technology
Aardwolf,28899,111,9,30,103,0,Start,C,Medium,Science & Technology
Adobe,28446,28,10,30,95,0,Start,C,Medium,Science & Technology
Adventure,11020,13,1,22,87,0,Stub,C,Medium,General
Asia,143165,190,76,78,847,1,B,B,Medium,Geography
Aruba,131168,214,20,118,446,1,B,C,Medium,Geography
Articles of Confederation,77112,24,15,42,385,1,Start,C,Medium,Science & Technology
Atlantic Ocean,108823,135,21,68,515,1,B,B,Medium,History & Politics
Arthur Schopenhauer,164434,208,13,112,579,1,B,B,Medium,Science & Technology
Angola,179592,306,44,82,760,1,B,B,Medium,History & Politics
Demographics of Angola,26196,17,4,16,60,1,Start,Start,Low,General
Politics of Angola,15131,15,0,24,74,0,Start,Start,Low,History & Politics
Economy of Angola,51758,122,4,32,134,1,C,Start,Low,General
Transport in Angola,4017,4,2,24,24,0,Stub,Start,Low,Culture & Arts
Angolan Armed Forces,25765,29,1,46,77,1,Start,Start,Low,History & Politics
Foreign relations of Angola,64557,151,3,18,166,0,C,Start,Low,General
Albert Sidney Johnston,70803,164,6,40,251,1,C,C,Medium,Science & Technology
Android (robot),34241,60,4,24,146,0,Start,B,Medium,Science & Technology
Alberta,176407,217,29,90,889,1,B,C,Medium,Geography
Actinopterygii,49679,53,36,14,584,0,Start,C,Medium,Science & Technology
Albert Einstein,233898,442,33,198,873,1,GA,GA,High,Science & Technology
Afghanistan,334563,593,46,110,1407,1,B,B,Medium,Geography
Albania,290322,458,57,164,1518,1,B,B,Medium,History & Politics
Allah,52669,131,6,56,254,0,GA,GA,High,General
Algorithms (journal),3889,8,0,8,42,1,Stub,Start,Low,Science & Technology
Azerbaijan,260481,466,40,86,1063,1,GA,GA,High,History & Politics
Amateur astronomy,43748,48,7,48,165,0,Start,C,Medium,Science & Technology
Aikido,58643,89,14,42,231,1,C,C,Medium,Culture & Arts
Art,132027,198,23,52,504,0,B,B,Medium,Culture & Arts
Agnostida,8405,11,0,8,70,0,Stub,Start,Low,General
Abortion,208111,377,8,80,407,1,B,C,Medium,Science & Technology
Abstract (law),2284,4,0,8,18,0,Stub,Start,Low,General
American Revolutionary War,288818,485,36,102,1359,1,B,B,Medium,Science & Technology
Ampere,16614,23,0,16,99,1,Start,C,Medium,General
Algorithm,65011,69,3,64,295,0,C,C,Medium,Science & Technology
Annual plant,13428,23,1,12,22,0,Stub,Start,Low,Science & Technology
Anthophyta,3792,7,0,2,18,0,Stub,Start,Low,Science & Technology
Mouthwash,68782,178,5,70,210,0,C,C,Medium,General
Alexander the Great,222299,386,44,120,1071,1,GA,GA,High,History & Politics
Alfred Korzybski,18814,15,1,20,98,1,Start,C,Medium,History & Politics
Asteroids (video game),59266,139,2,38,244,1,GA,GA,High,Science & Technology
Asparagales,93367,8,4,78,465,0,Stub,B,Medium,General
Alismatales,13961,7,2,16,132,0,Stub,Start,Low,General
Apiales,8402,13,0,6,67,0,Stub,Start,Low,General
Asterales,12929,13,0,14,85,0,Stub,Start,Low,General
Asteroid,154870,264,19,98,584,0,B,B,Medium,General
Allocution,3736,3,0,10,13,0,Stub,Start,Low,General
Affidavit,12000,13,2,20,39,0,Stub,C,Medium,General
Aries (constellation),52969,10,6,42,256,1,FA,FA,High,General
Aquarius (constellation),38672,26,5,26,196,1,Start,C,Medium,General
Anime,158112,246,10,46,622,1,B,B,Medium,Culture & Arts
Ankara,128463,138,34,148,849,1,B,C,Medium,Geography
Arabic,153863,167,12,108,1025,1,B,C,Medium,History & Politics
Alfred Hitchcock,186374,213,24,146,834,1,B,B,Medium,History & Politics
Anaconda,28031,55,6,40,128,0,Start,C,Medium,General
Altaic languages,71185,119,5,72,209,1,C,C,Medium,General
Austrian German,27304,26,2,36,134,1,Start,C,Medium,General
Axiom of choice,69387,31,2,46,314,0,C,B,Medium,General
Attila,73057,78,15,40,445,1,C,C,Medium,History & Politics
Aegean Sea,57760,84,12,44,435,1,C,B,Medium,Geography
A Clockwork Orange (novel),53519,62,3,40,172,1,C,B,Medium,Science & Technology
Amsterdam,209860,291,55,112,1137,1,B,B,Medium,History & Politics
Museum of Work,6876,14,1,18,17,0,Stub,Start,Low,General
Audi,180787,201,94,170,1069,1,B,B,Medium,Culture & Arts
Aircraft,64818,120,19,102,401,0,C,C,Medium,General
Alfred Nobel,49131,94,7,32,235,1,Start,C,Medium,Science & Technology
Alexander Graham Bell,147283,164,18,60,526,1,B,B,Medium,Science & Technology
Anatolia,88852,155,18,64,619,1,C,C,Medium,History & Politics
Apple Inc.,325885,479,24,108,1184,1,B,B,Medium,Science & Technology
Aberdeenshire,37390,51,8,26,292,1,Start,C,Medium,General
Aztlan Underground,7941,15,0,16,24,1,Stub,Start,Low,Biography
American Civil War,241345,314,30,144,790,1,B,B,Medium,History & Politics
Andy Warhol,294115,575,37,108,1050,1,B,B,Medium,Science & Technology
Alp Arslan,70836,128,4,60,253,1,C,C,Medium,History & Politics
American Film Institute,26986,39,2,44,178,1,Start,Start,Low,Culture & Arts
Akira Kurosawa,114873,144,12,98,475,1,GA,GA,High,Science & Technology
Ancient Egypt,175585,54,38,102,810,1,C,B,Medium,History & Politics
Analog Brothers,3919,3,0,10,17,1,Stub,Stub,Low,General
Motor neuron diseases,22180,71,2,30,64,1,Start,C,Medium,General
Abjad,41548,19,2,24,360,0,Start,C,Medium,General
Abugida,44879,37,12,36,373,0,Start,B,Medium,General
ABBA,156515,206,12,124,557,1,B,B,Medium,Biography
Allegiance,5670,14,0,20,23,0,Stub,Start,Low,History & Politics
MessagePad,57300,37,6,52,179,1,C,C,Medium,General
A. E. van Vogt,52769,60,1,50,216,1,C,B,Medium,Science & Technology
Anna Kournikova,59088,104,5,42,321,1,C,B,Medium,History & Politics
Alfons Maria Jakob,5271,14,0,6,53,1,Stub,Start,Low,Biography
Agnosticism,91069,134,7,42,303,0,GA,GA,High,General
Argon,40714,49,8,38,258,1,Start,B,Medium,General
Arsenic,146645,264,12,102,501,1,B,B,Medium,General
Antimony,61701,152,10,50,305,1,GA,GA,High,General
Actinium,42641,91,2,30,187,1,GA,GA,High,General
Americium,80647,169,5,60,308,0,GA,GA,High,General
Astatine,83626,146,5,40,269,1,FA,FA,High,General
Atom,129414,263,15,72,543,1,B,B,Medium,Science & Technology
Arable land,20276,12,9,22,68,0,Start,C,Medium,General
Aluminium,143369,225,19,72,663,1,GA,GA,High,General
Advanced Chemistry,12563,20,0,12,29,1,Stub,Start,Low,General
Anglican Communion,155393,383,4,54,454,1,B,C,Medium,History & Politics
Arne Kaijser,2763,1,0,4,15,1,Stub,Stub,Low,Science & Technology
Archipelago,8287,13,4,22,49,0,Stub,Start,Low,Geography
Author,22890,37,1,20,68,0,Start,C,Medium,General
Andrey Markov,11310,5,2,16,88,1,Stub,C,Medium,Science & Technology
Angst,7158,10,1,12,71,0,Stub,Start,Low,General
Anxiety,98962,196,2,70,254,0,C,B,Medium,General
A. A. Milne,48028,86,6,46,237,1,Start,B,Medium,History & Politics
Asociación Alumni,6316,7,1,18,52,1,Stub,Start,Low,Geography
Axiom,35926,21,1,62,205,0,Start,C,Medium,General
Alpha,12836,12,1,26,95,0,Stub,C,Medium,General
Alvin Toffler,31821,80,1,22,154,1,Start,B,Medium,Science & Technology
The Amazing Spider-Man,105581,119,2,98,528,1,B,C,Medium,General
Antigua and Barbuda,109713,220,24,58,404,1,B,B,Medium,History & Politics
Azincourt,7809,12,1,16,34,1,Stub,C,Medium,Geography
Albert Speer,78796,0,18,44,310,1,FA,FA,High,Science & Technology
Asteraceae,64574,135,7,50,356,0,C,C,Medium,General
Apiaceae,25804,35,0,26,188,0,Start,Start,Low,General
Axon,60565,97,8,70,290,1,C,B,Medium,General
Aramaic alphabet,41291,31,179,22,560,1,Start,C,Medium,History & Politics
American shot,2833,3,1,2,12,0,Stub,Start,Low,General
Acute disseminated encephalomyelitis,51539,115,1,38,110,1,C,B,Medium,Science & Technology
Ataxia,57405,96,1,52,206,1,C,C,Medium,General
Ada Lovelace,97827,147,15,60,367,1,C,B,Medium,History & Politics
August Derleth,36604,25,2,28,172,1,Start,C,Medium,Science & Technology
Alps,109464,230,39,62,762,1,B,B,Medium,Geography
Albert Camus,64068,28,9,56,355,1,GA,GA,High,History & Politics
Agatha Christie,169168,412,12,76,691,1,GA,GA,High,History & Politics
The Plague (novel),20647,30,3,16,82,0,Start,C,Medium,Culture & Arts
Applied ethics,12285,14,0,12,53,0,Stub,Start,Low,General
Absolute value,33680,10,5,44,145,0,Stub,C,Medium,Science & Technology
Analog signal,6159,5,0,10,58,0,Stub,Start,Low,Culture & Arts
Arecales,6016,8,0,12,42,0,Stub,Start,Low,Science & Technology
Hercule Poirot,75156,74,4,108,333,1,C,B,Medium,History & Politics
Miss Marple,33395,40,0,46,234,1,Start,C,Medium,History & Politics
April,34455,25,8,136,584,0,Start,C,Medium,General
August,32585,37,7,104,487,0,Start,Start,Low,General
Aaron,48840,153,8,42,267,1,Start,C,Medium,History & Politics
Alcohol (chemistry),36533,45,17,60,290,0,Start,B,Medium,Science & Technology
Achill Island,50377,77,11,70,193,1,C,C,Medium,Geography
Allen Ginsberg,112673,215,8,76,572,1,B,B,Medium,History & Politics
Algebraically closed field,13982,2,0,28,49,0,Stub,C,Medium,General
Anatoly Karpov,46653,66,4,40,243,1,Start,C,Medium,History & Politics
Aspect ratio,5874,3,1,16,60,0,Stub,Start,Low,General
Auto racing,55096,45,34,52,374,1,C,C,Medium,Culture & Arts
Anarcho-capitalism,171250,349,7,70,501,0,B,B,Medium,Science & Technology
Aristophanes,69216,116,5,48,218,1,C,C,Medium,History & Politics
Albert Schweitzer,90863,100,10,56,374,1,C,B,Medium,Science & Technology
Austrian school of economics,67990,131,8,46,218,0,C,B,Medium,General
Abscess,36889,97,6,50,131,1,Start,B,Medium,Science & Technology
Aalborg Municipality,14251,16,0,20,114,1,Stub,Start,Low,Geography
Aarhus,222910,403,42,86,812,1,GA,GA,High,Geography
Northern cavefish,4547,7,0,2,23,0,Stub,Start,Low,Science & Technology
Amateur,17503,23,1,16,94,0,Start,Start,Low,General
Alexis Carrel,34210,49,4,32,120,1,Start,B,Medium,Science & Technology
All Souls' Day,52687,85,8,62,234,1,C,B,Medium,History & Politics
Anatole France,17334,20,6,28,90,1,Start,C,Medium,History & Politics
André Gide,37854,58,3,32,112,1,Start,C,Medium,Biography
Algorithms for calculating variance,33801,24,0,40,57,0,Start,Start,Low,Culture & Arts
Almond,68644,145,10,66,301,0,C,B,Medium,General
Demographics of Antigua and Barbuda,16723,9,2,16,29,0,Stub,Start,Low,General
Politics of Antigua and Barbuda,11801,8,2,22,113,0,Stub,Start,Low,History & Politics
Telecommunications in Antigua and Barbuda,6326,3,0,16,59,0,Stub,Start,Low,Geography
Antigua and Barbuda Defence Force,19096,20,1,22,43,1,Start,Start,Low,History & Politics
Antisemitism,255954,329,22,90,953,0,B,B,Medium,General
Economy of Azerbaijan,47309,107,6,46,173,1,Start,C,Medium,Geography
Geography of Azerbaijan,15857,35,7,24,98,1,Start,Start,Low,Geography
Foreign relations of Azerbaijan,102884,187,1,36,436,0,B,C,Medium,General
Azerbaijani Armed Forces,88269,129,18,74,318,1,C,B,Medium,History & Politics
Geography of Armenia,13666,39,6,16,83,0,Stub,Start,Low,Geography
Demographics of Armenia,75888,91,7,52,185,1,C,Start,Low,General
Politics of Armenia,23482,25,1,26,166,1,Start,C,Medium,History & Politics
Economy of Armenia,159510,309,11,208,369,1,B,C,Medium,Geography
Transport in Armenia,20809,34,7,52,131,0,Start,Start,Low,Culture & Arts
Armed Forces of Armenia,71646,120,7,66,328,1,C,Start,Low,History & Politics
Foreign relations of Armenia,145035,163,3,54,730,0,B,C,Medium,General
Demographics of American Samoa,18904,20,2,16,58,0,Start,Start,Low,Geography
Politics of American Samoa,5990,7,0,10,46,0,Stub,Start,Low,History & Politics
Economy of American Samoa,8895,9,2,6,17,1,Stub,Start,Low,General
Avicenna,125238,152,12,128,535,1,B,B,Medium,Science & Technology
The Ashes,108313,105,15,52,553,1,B,B,Medium,History & Politics
Analysis,36961,79,2,54,233,0,Start,C,Medium,Science & Technology
Abner Doubleday,32407,44,20,38,196,1,Start,B,Medium,History & Politics
America's National Game,1762,1,0,4,12,1,Stub,Stub,Low,Culture & Arts
Amplitude modulation,41256,53,8,44,189,0,Start,C,Medium,General
Augustin-Jean Fresnel,72169,77,9,44,221,1,GA,GA,High,Science & Technology
Abbot,35336,9,8,34,244,0,Stub,B,Medium,General
Ardipithecus,32024,46,2,18,135,0,Start,B,Medium,Science & Technology
Assembly line,36499,39,12,30,178,0,Start,C,Medium,Science & Technology
Adelaide,190092,262,39,96,968,1,B,B,Medium,Geography
Alan Garner,43900,24,3,42,208,1,Start,B,Medium,History & Politics
Algebraic number,17841,2,4,24,102,0,Stub,C,Medium,General
Automorphism,11226,5,1,16,121,0,Stub,Start,Low,General
Accordion,81931,113,21,102,385,1,C,B,Medium,History & Politics
Artificial intelligence,271581,317,17,190,1045,0,B,B,Medium,Science & Technology
Afro Celt Sound System,23886,36,0,20,138,1,Start,Start,Low,Biography
Ancient philosophy,28568,18,5,102,427,0,Start,Start,Low,History & Politics
Anaximander,59913,76,7,42,283,1,C,B,Medium,History & Politics
Architect,30070,27,3,30,114,1,Start,C,Medium,Culture & Arts
Abbreviation,33652,26,2,50,181,0,Start,C,Medium,General
Aphrodite,151539,112,19,66,962,1,GA,GA,High,History & Politics
Antisymmetric relation,4241,0,1,8,23,0,Stub,Start,Low,General
Aleister Crowley,127099,1,11,62,582,1,GA,GA,High,History & Politics
Afterlife,132155,172,10,136,583,0,B,B,Medium,Culture & Arts
Astrometry,18734,21,4,16,134,0,Start,C,Medium,General
Athena,131470,70,20,56,649,1,GA,GA,High,History & Politics
Amber Diceless Roleplaying Game,25293,20,2,32,90,1,Start,C,Medium,Culture & Arts
Alloy,56572,90,3,34,295,0,C,C,Medium,Science & Technology
Agrarianism,57553,56,5,128,232,0,C,C,Medium,General
Angle,60452,59,10,68,231,0,C,C,Medium,General
Acoustics,42046,45,10,66,241,0,Start,C,Medium,General
Atomic physics,13963,9,1,18,91,0,Stub,C,Medium,Science & Technology
American Sign Language,79410,218,9,50,244,1,C,B,Medium,History & Politics
Applet,8532,10,0,24,57,0,Stub,Start,Low,Science & Technology
Alternate history,81590,80,9,42,543,0,C,C,Medium,Science & Technology
Atomic orbital,85007,43,56,50,315,0,C,B,Medium,Science & Technology
Amino acid,117032,219,11,108,458,0,GA,GA,High,General
Alan Turing,155207,223,13,62,522,1,GA,GA,High,Science & Technology
Area,43793,56,32,88,286,1,Start,B,Medium,General
Astronomical unit,52651,74,2,20,196,0,C,B,Medium,Science & Technology
Artist,18599,23,4,26,145,0,Start,Start,Low,Biography
Actaeon,28405,41,9,22,227,0,Start,C,Medium,Science & Technology
Anglicanism,175279,112,19,116,738,0,B,C,Medium,History & Politics
Athens,165610,200,41,104,1255,1,B,B,Medium,History & Politics
Anguilla,78145,143,14,74,312,1,C,B,Medium,History & Politics
Ashmore and Cartier Islands,37020,56,2,28,175,1,GA,GA,High,Science & Technology
Acoustic theory,12070,0,0,18,15,0,Stub,Start,Low,General
Alexander Mackenzie (politician),28643,11,6,32,188,1,Start,B,Medium,History & Politics
Ashoka,152880,87,25,120,678,1,C,B,Medium,History & Politics
American (word),54936,93,3,32,151,0,C,C,Medium,Geography
Ada (programming language),55902,66,2,44,244,0,C,C,Medium,Science & Technology
Alfonso Cuarón,41656,55,4,24,240,1,Start,C,Medium,Science & Technology
Arianism,94711,134,5,50,376,0,C,C,Medium,History & Politics
Hotline,8939,15,2,32,51,0,Stub,Start,Low,General
Hybrid (biology),82236,136,14,84,371,0,GA,GA,High,Science & Technology
Hybrid balance,708,0,0,2,8,0,Stub,Stub,Low,Science & Technology
Hybrid transformer,5801,2,4,16,47,0,Stub,C,Medium,General
Hydroxyl ion absorption,1523,2,0,4,12,0,Stub,Stub,Low,Science & Technology
Identifier,13170,2,1,24,133,0,Stub,Start,Low,General
Improved-definition television,2706,6,0,4,22,0,Stub,Stub,Low,Science & Technology
Index-matching material,7158,4,0,12,44,0,Stub,C,Medium,General
Inductive coupling,7080,4,2,6,45,0,Stub,Start,Low,Science & Technology
Information-bearer channel,682,0,0,2,8,0,Stub,Stub,Low,General
Information-transfer transaction,4109,0,0,12,19,0,Stub,Start,Low,General
Insertion gain,808,1,0,2,8,0,Stub,Stub,Low,Science & Technology
Insertion loss,2533,3,0,8,15,0,Stub,Start,Low,Science & Technology
Inside plant,2945,0,0,6,18,0,Stub,Start,Low,General
Intelligent Network,15791,9,1,20,81,0,Stub,Start,Low,Culture & Arts
Intensity modulation,3931,6,0,8,19,0,Stub,Start,Low,General
Interchange circuit,822,0,0,2,10,0,Stub,Stub,Low,General
Intercharacter interval,659,0,0,2,8,0,Stub,Stub,Low,General
Interconnect facility,667,0,0,2,5,0,Stub,Stub,Low,Culture & Arts
Interface functionality,854,0,0,2,9,0,Stub,Stub,Low,General
Interface standard,1722,0,0,6,27,0,Stub,Stub,Low,General
Interference filter,10255,4,4,14,78,0,Stub,Start,Low,General
Intermediate distribution frame,1527,0,0,2,22,0,Stub,Stub,Low,General
Intermediate-field region,1027,1,0,2,7,0,Stub,Stub,Low,General
IP address spoofing,11741,13,1,22,49,0,Stub,C,Medium,General
Interoperability,47566,43,4,76,136,0,Start,C,Medium,Science & Technology
Interposition trunk,741,0,0,0,8,0,Stub,Stub,Low,General
Intersymbol interference,10324,3,1,20,44,0,Stub,C,Medium,Culture & Arts
Inverse-square law,28868,23,2,30,135,0,Start,C,Medium,Science & Technology
Ionospheric sounding,1516,0,0,4,19,0,Stub,Stub,Low,General
Isochronous timing,4026,2,0,4,44,0,Stub,Start,Low,General
Isochronous burst transmission,1699,1,0,2,13,0,Stub,Stub,Low,General
Isochronous signal,930,0,0,4,13,0,Stub,Stub,Low,Science & Technology
Jerkiness,2740,2,0,8,25,0,Stub,Stub,Low,Science & Technology
Jitter,20909,18,1,38,86,0,Start,C,Medium,Science & Technology
Joint multichannel trunking and switching system,772,0,0,2,6,0,Stub,Stub,Low,History & Politics
Kendall effect,692,0,0,2,10,0,Stub,Stub,Low,General
Lambert's cosine law,10454,9,2,10,44,0,Stub,Start,Low,General
Launch angle,887,0,0,2,14,0,Stub,Stub,Low,General
Launch numerical aperture,759,0,0,2,6,0,Stub,Stub,Low,General
Layered system,534,0,0,0,4,0,Stub,Stub,Low,General
Leaky mode,1975,0,0,2,8,0,Stub,Stub,Low,General
Linear polarization,4948,2,1,8,28,0,Stub,Start,Low,General
Line code,16000,12,7,22,113,0,Start,C,Medium,General
Link quality analysis,980,0,0,2,8,0,Stub,Stub,Low,Science & Technology
Loading characteristic,565,0,0,2,8,0,Stub,Stub,Low,General
Loading coil,33954,50,8,52,136,0,Start,B,Medium,Science & Technology
Local Access and Transport Area,27537,7,2,216,462,0,Stub,C,Medium,General
Local call,1697,0,0,4,15,0,Stub,Stub,Low,General
Log-periodic antenna,13882,16,1,16,51,0,Stub,Start,Low,General
Long-haul communications,3127,0,0,2,12,0,Stub,Start,Low,General
Longitudinal redundancy check,4183,8,0,8,20,0,Stub,Start,Low,Culture & Arts
Long-term stability,577,0,0,0,11,0,Stub,Stub,Low,General
LPD433,12799,15,0,34,37,0,Stub,Start,Low,Culture & Arts
Machine-readable medium and data,7165,5,1,18,77,0,Stub,Stub,Low,Science & Technology
Magneto-ionic double refraction,1247,0,0,2,7,0,Stub,Stub,Low,General
Magneto-optic effect,9304,1,1,8,49,0,Stub,Start,Low,General
Main distribution frame,5444,1,5,8,42,0,Stub,Start,Low,General
Main lobe,2324,0,2,2,27,0,Stub,Stub,Low,General
Maintainability,5516,2,0,16,30,0,Stub,Start,Low,Science & Technology
Managed object,1578,3,0,2,11,0,Stub,Stub,Low,General
Manchester code,9453,10,1,18,52,0,Stub,C,Medium,Science & Technology
Mandrel wrapping,4124,0,0,8,9,0,Stub,Start,Low,General
Maritime broadcast communications net,1487,3,0,4,14,0,Stub,Stub,Low,General
Master frequency generator,773,0,0,2,10,0,Stub,Stub,Low,General
Master station,1807,5,0,4,15,0,Stub,Start,Low,General
Maximal-ratio combining,3322,2,0,6,11,0,Stub,Start,Low,General
Maximum usable frequency,4152,3,0,8,29,0,Stub,Start,Low,General
Mean time between outages,548,0,0,2,5,0,Stub,Stub,Low,Science & Technology
Mechanically induced modulation,702,0,0,2,5,0,Stub,Stub,Low,General
Mediation function,753,0,0,2,9,0,Stub,Stub,Low,General
Message,7726,16,2,14,16,0,Stub,Start,Low,General
Message format,551,0,0,0,8,0,Stub,Stub,Low,General
Micro-mainframe link,1153,1,0,2,12,0,Stub,Stub,Low,General
Sprague–Grundy theorem,20178,4,0,32,44,0,Stub,C,Medium,Science & Technology
Mode field diameter,1864,1,0,6,17,0,Stub,Stub,Low,General
Mode partition noise,665,0,0,2,12,0,Stub,Stub,Low,Science & Technology
Mode scrambler,4580,3,0,8,15,0,Stub,Start,Low,General
Mode volume,8139,11,0,8,31,0,Stub,Stub,Low,General
Modification of Final Judgment,3240,5,0,2,15,0,Stub,Stub,Low,Science & Technology
Modified AMI code,8321,0,0,18,39,0,Stub,Start,Low,General
Mu-law algorithm,10392,7,4,18,53,0,Stub,C,Medium,General
Multicast address,24469,26,0,18,120,0,Start,C,Medium,General
Multipath propagation,10732,0,7,12,87,0,Stub,C,Medium,Science & Technology
Multiple homing,1068,0,0,4,17,0,Stub,Stub,Low,History & Politics
Multiplex baseband,1498,1,0,2,14,0,Stub,Stub,Low,General
Multiplexing,22940,13,5,36,179,0,Start,C,Medium,Science & Technology
Narrative traffic,773,0,0,2,9,0,Stub,Stub,Low,General
Narrowband modem,661,0,0,2,8,0,Stub,Stub,Low,General
National Communications System,14625,6,1,12,56,0,Stub,Start,Low,History & Politics
National Information Infrastructure,2615,3,0,6,30,0,Stub,Stub,Low,History & Politics
Neper,7465,8,2,16,39,0,Stub,Start,Low,General
Net gain (telecommunications),1167,0,0,2,11,0,Stub,Stub,Low,General
Net operation,15522,10,0,26,26,0,Stub,Start,Low,General
Network architecture,3346,2,0,10,21,0,Stub,Start,Low,Science & Technology
Network interface device,12074,7,1,16,71,0,Stub,C,Medium,General
Network management,3158,1,0,10,38,0,Stub,Start,Low,General
Network operating system,7780,9,0,14,90,0,Stub,C,Medium,Science & Technology
Network topology,41612,27,11,76,222,0,Start,C,Medium,General
Neutral direct-current telegraph system,971,1,0,4,7,0,Stub,Stub,Low,General
Noise,28570,53,3,26,105,0,Start,B,Medium,General
Noise-equivalent power,2144,3,0,4,17,0,Stub,Start,Low,Science & Technology
Noise figure,17536,17,1,18,47,0,Start,Start,Low,Science & Technology
Noise power,1322,0,0,2,18,0,Stub,Stub,Low,Science & Technology
Noise temperature,10582,3,0,12,31,0,Stub,Start,Low,Science & Technology
Noise weighting,2620,2,0,4,19,0,Stub,Start,Low,Science & Technology
Non-return-to-zero,13097,11,7,22,59,0,Stub,C,Medium,General
NS/EP telecommunications,972,0,0,2,7,0,Stub,Stub,Low,General
N-entity,1062,0,0,2,10,0,Stub,Stub,Low,Culture & Arts
Numerical aperture,18000,9,5,16,86,0,Stub,Start,Low,Science & Technology
Nyquist rate,8530,8,3,12,44,0,Stub,Start,Low,General
Off-axis optical system,2830,3,0,4,7,0,Stub,Stub,Low,General
On- and off-hook,4243,3,2,8,36,0,Stub,Stub,Low,General
Online and offline,18440,22,1,22,62,0,Start,C,Medium,General
One-way trunk,765,0,0,2,8,0,Stub,Stub,Low,General
On-premises wiring,2906,2,0,6,26,0,Stub,Start,Low,General
